puzzle_id,sub_puzzle_id,image_path,origin_question,true_answer,sub_question,answer,level,sub_question_id,subquestion_image_path
82,0,82/img/puzzle_82_0.png,"Stephen has 5 items in his place. Every item is identified with an alphabet. Stephen removes the items one at a time without disturbing the others. Which item will he remove last? A: A,B: B,C: C,D: D,E: E",D,nan,NO_FINAL_ANSWER,nan,82-0-1,nan
82,1,82/img/puzzle_82_1.png,"Bruce has 5 sticks in his home. All stick is noted with a letter. Bruce removes the sticks one at a time not disturbing the others. Which stick will he take out finally? A: A,B: B,C: C,D: D,E: E",E,nan,NO_FINAL_ANSWER,nan,82-1-1,nan
82,2,82/img/puzzle_82_2.png,"Daniel, the naughty kid, has 5 sticks in his house. Every stick is noted with an alphabet. Daniel removes the sticks sequentially not disturbing the other stick. Which stick will he move finally? A: A,B: B,C: C,D: D,E: E",A,nan,NO_FINAL_ANSWER,nan,82-2-1,nan
82,3,82/img/puzzle_82_3.png,"Rebecca has 5 objects in her home. Every object is marked with an alphabet. Rebecca moves the objects one at a time not moving the others. Which object will she move at last? A: A,B: B,C: C,D: D,E: E",A,nan,NO_FINAL_ANSWER,nan,82-3-1,nan
82,4,82/img/puzzle_82_4.png,"Frank, the naughty kid, has 5 objects in his room. Each object is noted with a letter. Frank takes away the objects one at a time without moving the other object. Which object will he move at last? A: A,B: B,C: C,D: D,E: E",D,nan,NO_FINAL_ANSWER,nan,82-4-1,nan
82,5,82/img/puzzle_82_5.png,"Melissa, the messy kid, has 5 items in her garage. Every item is identified with an alphabet. Melissa takes away the items one at a time not moving the other item. Which item will she take out finally? A: A,B: B,C: C,D: D,E: E",D,nan,NO_FINAL_ANSWER,nan,82-5-1,nan
82,6,82/img/puzzle_82_6.png,"Wayne, the naughty kid, has 5 sticks in his home. Every stick is noted with an alphabet. Wayne takes away the sticks one by one without moving the others. Which stick will he take out at last? A: A,B: B,C: C,D: D,E: E",C,nan,NO_FINAL_ANSWER,nan,82-6-1,nan
82,7,82/img/puzzle_82_7.png,"Mary, the messy kid, has 5 sticks in her place. Each stick is noted with an alphabet. Mary removes the sticks sequentially not moving the other stick. Which stick will she move at last? A: A,B: B,C: C,D: D,E: E",C,nan,NO_FINAL_ANSWER,nan,82-7-1,nan
82,8,82/img/puzzle_82_8.png,"Erin, the messy kid, has 5 things in her house. Every thing is identified with a letter. Erin takes away the things sequentially not moving the other thing. Which thing will she remove last? A: A,B: B,C: C,D: D,E: E",A,nan,NO_FINAL_ANSWER,nan,82-8-1,nan
82,9,82/img/puzzle_82_9.png,"Tina has 5 items in her room. Every item is noted with a letter. Tina removes the items sequentially not disturbing the other item. Which item will she remove at last? A: A,B: B,C: C,D: D,E: E",D,nan,NO_FINAL_ANSWER,nan,82-9-1,nan
