puzzle_id,sub_puzzle_id,image_path,origin_question,true_answer,sub_question,answer,level,sub_question_id,subquestion_image_path,best_score
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,What is the height of the first mushroom?,8,0,94-0-1,94/puzzle_94_0_grid4.png,0.3119202852249145
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,What is the height of the second mushroom?,3,1,94-0-1,94/puzzle_94_0_grid5.png,0.3117355704307556
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,,B,,94-0-1,94/puzzle_94_0_grid6.png,0.2395021766424179
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,What is the height of the second mushroom?,3,0,94-0-2,,
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,What is the height of the first mushroom?,8,1,94-0-2,,
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,,A,,94-0-2,,
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,How do you calculate the gap between the peaks of two objects?,Subtract the height of the second object from the height of the first object.,0,94-0-3,,
94,0,94/img/puzzle_94_0.png,"In the drawing is demonstrated two mushrooms. How much is the gap between their peaks? A: 6,B: 5,C: 2,D: 1,E: 4",B,,E,,94-0-3,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,What is the height of the taller tree?,12,0,94-1-1,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,What is the height of the shorter tree?,7,1,94-1-1,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,,D,,94-1-1,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,What is the height of the shorter tree?,7,0,94-1-2,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,What is the height of the taller tree?,12,1,94-1-2,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,,D,,94-1-2,,
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,What is the difference in height between the two trees?,5,0,94-1-3,94/puzzle_94_1_grid1.png,0.2978784143924713
94,1,94/img/puzzle_94_1.png,"In the figure is demonstrated two trees. What is the difference between their peaks? A: 3,B: 7,C: 11,D: 8,E: 5",E,,E,,94-1-3,94/puzzle_94_1_grid9.png,0.2393708229064941
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,What is the elevation of the larger mushroom?,18,0,94-2-1,94/puzzle_94_2_grid4.png,0.3295679688453674
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,What is the elevation of the smaller mushroom?,7,1,94-2-1,94/puzzle_94_2_grid4.png,0.3240750432014465
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,,A,,94-2-1,94/puzzle_94_2_grid13.png,0.2490358054637909
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,What is the elevation of the smaller mushroom?,7,0,94-2-2,,
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,,C,,94-2-2,,
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,How much is the gap between the elevations of the two mushrooms?,11,0,94-2-3,,
94,2,94/img/puzzle_94_2.png,"The figure shows two mushrooms. How much is the gap between their elevations? A: 11,B: 15,C: 13,D: 14,E: 1",A,,NO_FINAL_ANSWER,,94-2-3,,
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the elevation of the taller tree?,20,0,94-3-1,94/puzzle_94_3_grid4.png,0.3136462569236755
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the elevation of the shorter tree?,9,1,94-3-1,94/puzzle_94_3_grid4.png,0.3070816695690155
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the difference in elevation between the taller and shorter tree?,11,2,94-3-1,94/puzzle_94_3_grid4.png,0.3149631917476654
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,,E,,94-3-1,94/puzzle_94_3_grid6.png,0.2438584864139557
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the elevation of the shorter tree?,9,0,94-3-2,94/puzzle_94_3_grid4.png,0.3070816695690155
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the elevation of the taller tree?,20,1,94-3-2,94/puzzle_94_3_grid4.png,0.3136462569236755
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,How do you calculate the gap in elevation between two points?,Subtract the elevation of the shorter tree from the elevation of the taller tree.,2,94-3-2,94/puzzle_94_3_grid4.png,0.3028008937835693
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,"Using the given elevations, what is the result of subtracting the elevation of the shorter tree from the elevation of the taller tree?",11,3,94-3-2,94/puzzle_94_3_grid4.png,0.2955784499645233
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,,E,,94-3-2,94/puzzle_94_3_grid6.png,0.2438584864139557
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,What is the gap between the elevations of the two trees?,11,0,94-3-3,94/puzzle_94_3_grid4.png,0.3176029026508331
94,3,94/img/puzzle_94_3.png,"In the image is depicted two trees. How much is the gap between their elevations? A: 1,B: 4,C: 9,D: 7,E: 11",E,,E,,94-3-3,94/puzzle_94_3_grid6.png,0.2438584864139557
94,4,94/img/puzzle_94_4.png,"In the figure is presented two mushrooms. What is the gap between their heights? A: 8,B: 7,C: 5,D: 6,E: 4",C,What is the height of the taller mushroom?,9,0,94-4-1,,
94,4,94/img/puzzle_94_4.png,"In the figure is presented two mushrooms. What is the gap between their heights? A: 8,B: 7,C: 5,D: 6,E: 4",C,What is the height of the shorter mushroom?,4,1,94-4-1,,
94,4,94/img/puzzle_94_4.png,"In the figure is presented two mushrooms. What is the gap between their heights? A: 8,B: 7,C: 5,D: 6,E: 4",C,,E,,94-4-1,,
94,4,94/img/puzzle_94_4.png,"In the figure is presented two mushrooms. What is the gap between their heights? A: 8,B: 7,C: 5,D: 6,E: 4",C,What is the height of the shorter mushroom?,4,0,94-4-2,94/puzzle_94_4_grid5.png,0.3108467757701874
94,4,94/img/puzzle_94_4.png,"In the figure is presented two mushrooms. What is the gap between their heights? A: 8,B: 7,C: 5,D: 6,E: 4",C,What is the height of the taller mushroom?,9,1,94-4-2,94/puzzle_94_4_grid4.png,0.3236773908138275
