puzzle_id,sub_puzzle_id,image_path,origin_question,true_answer,sub_question,answer,level,sub_question_id,subquestion_image_path
48,1,48/img/puzzle_48_1.png,"As shown in the image,Kelly can only jump from one circle to a neighboring circle connected by a line. She cannot jump into any circle more than once. She starts at circle 0 and needs to make exactly 2 jumps to reach circle 1. In how many different ways can Kelly do this? A: 1,B: 2,C: 0,D: 3,E: 5",A,nan,NO_FINAL_ANSWER,nan,48-1-1,nan
48,2,48/img/puzzle_48_2.png,"As shown in the image,Andrew can only jump from one circle to a neighboring circle connected by a line. He cannot jump into any circle more than once. He starts at circle 3 and needs to make exactly 2 jumps to reach circle 0. In how many different ways can Andrew do this? A: 0,B: 3,C: 5,D: 4,E: 2",E,nan,NO_FINAL_ANSWER,nan,48-2-1,nan
48,3,48/img/puzzle_48_3.png,"As shown in the image,Steven can only jump from one circle to a neighboring circle connected by a line. He cannot jump into any circle more than once. He starts at circle 1 and needs to make exactly 3 jumps to reach circle 0. In how many different ways can Steven do this? A: 1,B: 4,C: 5,D: 0,E: 2",E,nan,NO_FINAL_ANSWER,nan,48-3-1,nan
48,4,48/img/puzzle_48_4.png,"As shown in the image,Jack can only jump from one circle to a neighboring circle connected by a line. He cannot jump into any circle more than once. He starts at circle 3 and needs to make exactly 3 jumps to reach circle 2. In how many different ways can Jack do this? A: 1,B: 5,C: 3,D: 4,E: 2",E,nan,NO_FINAL_ANSWER,nan,48-4-1,nan
48,5,48/img/puzzle_48_5.png,"As shown in the image,Quintin can only jump from one circle to a neighboring circle connected by a line. He cannot jump into any circle more than once. He starts at circle 3 and needs to make exactly 2 jumps to reach circle 1. In how many different ways can Quintin do this? A: 4,B: 3,C: 1,D: 2,E: 5",D,nan,NO_FINAL_ANSWER,nan,48-5-1,nan
48,6,48/img/puzzle_48_6.png,"As shown in the image,Theresa can only jump from one circle to a neighboring circle connected by a line. She cannot jump into any circle more than once. She starts at circle 1 and needs to make exactly 4 jumps to reach circle 3. In how many different ways can Theresa do this? A: 3,B: 5,C: 2,D: 0,E: 4",C,nan,NO_FINAL_ANSWER,nan,48-6-1,nan
48,7,48/img/puzzle_48_7.png,"As shown in the image,Kristin can only jump from one circle to a neighboring circle connected by a line. She cannot jump into any circle more than once. She starts at circle 1 and needs to make exactly 2 jumps to reach circle 0. In how many different ways can Kristin do this? A: 0,B: 5,C: 1,D: 3,E: 2",E,nan,NO_FINAL_ANSWER,nan,48-7-1,nan
48,8,48/img/puzzle_48_8.png,"As shown in the image,Minna can only jump from one circle to a neighboring circle connected by a line. She cannot jump into any circle more than once. She starts at circle 1 and needs to make exactly 3 jumps to reach circle 3. In how many different ways can Minna do this? A: 2,B: 0,C: 5,D: 1,E: 4",E,nan,NO_FINAL_ANSWER,nan,48-8-1,nan
48,9,48/img/puzzle_48_9.png,"As shown in the image,Mike can only jump from one circle to a neighboring circle connected by a line. He cannot jump into any circle more than once. He starts at circle 3 and needs to make exactly 2 jumps to reach circle 0. In how many different ways can Mike do this? A: 2,B: 4,C: 1,D: 5,E: 3",C,nan,NO_FINAL_ANSWER,nan,48-9-1,nan
48,10,48/img/puzzle_48_10.png,"As shown in the image,Andrea can only jump from one circle to a neighboring circle connected by a line. She cannot jump into any circle more than once. She starts at circle 3 and needs to make exactly 2 jumps to reach circle 0. In how many different ways can Andrea do this? A: 4,B: 3,C: 0,D: 2,E: 1",D,nan,NO_FINAL_ANSWER,nan,48-10-1,nan
