puzzle_id,sub_puzzle_id,image_path,origin_question,true_answer,sub_question,answer,level,sub_question_id,subquestion_image_path
20,1,20/img/puzzle_20_e_1.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 2 units. The length of the longer side of the floor (in unit) is: A: 24,B: 25,C: 28,D: 21,E: 26",A,nan,NO_FINAL_ANSWER,nan,20-1-1,nan
20,2,20/img/puzzle_20_e_2.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 3 units. What is the length of the longer side of the floor (in unit)? A: 40,B: 34,C: 36,D: 37,E: 39",C,nan,NO_FINAL_ANSWER,nan,20-2-1,nan
20,3,20/img/puzzle_20_e_3.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 2 units. The length of the longer side of the floor (in unit) is: A: 15,B: 16,C: 18,D: 21,E: 20",C,nan,NO_FINAL_ANSWER,nan,20-3-1,nan
20,4,20/img/puzzle_20_e_4.png,"Identical rectangular tiles cover the floor as shown. The length of the shorter side of each tile is 2 units. The length of the longer side of the floor (in unit) is: A: 23,B: 25,C: 24,D: 21,E: 27",C,nan,NO_FINAL_ANSWER,nan,20-4-1,nan
20,5,20/img/puzzle_20_e_5.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 2 units. The length of the longer side of the floor (in unit) is: A: 24,B: 21,C: 28,D: 26,E: 27",A,nan,NO_FINAL_ANSWER,nan,20-5-1,nan
20,6,20/img/puzzle_20_e_6.png,"Identical rectangular tiles cover the floor as shown. The length of the shorter side of each tile is 1 unit. What is the length of the shorter side of the floor (in unit)? A: 9,B: 6,C: 13,D: 12,E: 10",A,nan,NO_FINAL_ANSWER,nan,20-6-1,nan
20,7,20/img/puzzle_20_e_7.png,"Identical rectangular tiles cover the floor as shown. The length of the shorter side of each tile is 3 units. The length of the longer side of the floor (in unit) is: A: 40,B: 33,C: 37,D: 38,E: 36",E,nan,NO_FINAL_ANSWER,nan,20-7-1,nan
20,8,20/img/puzzle_20_e_8.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 4 units. The length of the longer side of the floor (in unit) is: A: 45,B: 47,C: 41,D: 43,E: 44",E,nan,NO_FINAL_ANSWER,nan,20-8-1,nan
20,9,20/img/puzzle_20_e_9.png,"Identical rectangular tiles cover the floor as shown. The length of the shorter side of each tile is 1 unit. The length of the shorter side of the floor (in unit) is: A: 10,B: 13,C: 14,D: 6,E: 8",A,nan,NO_FINAL_ANSWER,nan,20-9-1,nan
20,10,20/img/puzzle_20_e_10.png,"A floor is covered with identical rectangular tiles as shown. The length of the shorter side of each tile is 4 units. The length of the longer side of the floor (in unit) is: A: 40,B: 44,C: 39,D: 38,E: 36",A,nan,NO_FINAL_ANSWER,nan,20-10-1,nan
